time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,mx,my,mz
9.551,0,0,0,0.577527123601139,0.816371497239458,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.552,0,0,0,0.577445483563916,0.816429245869864,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.553,0,0,0,0.577363837752238,0.816486986335978,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.554,0,0,0,0.577282186166921,0.816544718637222,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.555,0,0,0,0.577200528808782,0.816602442773019,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.556,0,0,0,0.577118865678639,0.816660158742792,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.557,0,0,0,0.577037196777306,0.816717866545963,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.558,0,0,0,0.576955522105602,0.816775566181955,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.559,0,0,0,0.576873841664342,0.816833257650191,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.56,0,0,0,0.576792155454344,0.816890940950095,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.561,0,0,0,0.576710463476425,0.81694861608109,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.562,0,0,0,0.5766287657314,0.817006283042598,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.563,0,0,0,0.576547062220088,0.817063941834044,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.564,0,0,0,0.576465352943306,0.81712159245485,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.565,0,0,0,0.57638363790187,0.81717923490444,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.566,0,0,0,0.576301917096598,0.817236869182238,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.567,0,0,0,0.576220190528306,0.817294495287667,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.568,0,0,0,0.576138458197813,0.817352113220152,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.569,0,0,0,0.576056720105934,0.817409722979115,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
